epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0943,1.19857,2.65658,1.48795,0.6024,0.48131,0.45705,0.2884,1.40567,1.88735,2.21323,0.000329365,0.000329365,0.000329365
2,93.7519,1.31148,1.55282,1.5414,0.53712,0.36318,0.32988,0.17865,1.70771,3.45308,2.73621,0.000661058,0.000661058,0.000661058
3,138.293,1.326,1.51786,1.52265,0.71327,0.35617,0.48282,0.24466,1.68201,3.96755,2.31405,0.000991101,0.000991101,0.000991101
4,182.605,1.30034,1.45731,1.50191,0.52048,0.30716,0.2413,0.14064,2.18876,5.90719,3.02829,0.000992575,0.000992575,0.000992575
5,226.817,1.25642,1.34771,1.47798,0.80473,0.60164,0.65421,0.41564,1.32068,1.65451,1.79947,0.0009901,0.0009901,0.0009901
