epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1241.59,0.97162,0.72621,1.19831,0.94075,0.79292,0.7926,0.59374,0.89359,0.47797,1.17893,0.0008647,0.0008647,0.0008647
43,1270.98,0.96903,0.75978,1.19986,0.96141,0.80564,0.80407,0.611,0.90914,0.47598,1.18395,0.0008614,0.0008614,0.0008614
44,1299.57,0.96476,0.76559,1.18553,0.9514,0.79661,0.80311,0.60496,0.88575,0.46004,1.16355,0.0008581,0.0008581,0.0008581
45,1328.89,0.94975,0.73234,1.18027,0.94879,0.79935,0.81021,0.61206,0.90711,0.4742,1.15909,0.0008548,0.0008548,0.0008548
46,1357.49,0.95125,0.72581,1.18527,0.95731,0.78951,0.79973,0.60898,0.89392,0.49136,1.16947,0.0008515,0.0008515,0.0008515
47,1386.71,0.93948,0.71312,1.17188,0.94321,0.79555,0.79858,0.61305,0.88055,0.47223,1.1465,0.0008482,0.0008482,0.0008482
48,1415.18,0.93862,0.71133,1.17312,0.95545,0.77694,0.79004,0.60134,0.88564,0.49614,1.16114,0.0008449,0.0008449,0.0008449
49,1443.65,0.95027,0.71885,1.18642,0.95849,0.78728,0.80592,0.61546,0.87345,0.45218,1.16198,0.0008416,0.0008416,0.0008416
50,1472.07,0.94451,0.69404,1.18142,0.95165,0.79322,0.80394,0.59825,0.93347,0.47801,1.19395,0.0008383,0.0008383,0.0008383
51,1500.3,0.93863,0.6852,1.18333,0.9478,0.79285,0.79447,0.60513,0.91407,0.47625,1.19536,0.000835,0.000835,0.000835
52,1528.9,0.93634,0.68553,1.16981,0.95309,0.80587,0.80398,0.6146,0.8932,0.44762,1.17696,0.0008317,0.0008317,0.0008317
53,1557.7,0.93213,0.69554,1.17125,0.94762,0.7902,0.80275,0.61602,0.87574,0.45455,1.16247,0.0008284,0.0008284,0.0008284
54,1586.23,0.92063,0.68407,1.17017,0.94341,0.78492,0.79616,0.61517,0.89125,0.49269,1.15987,0.0008251,0.0008251,0.0008251
55,1614.45,0.91263,0.67649,1.16304,0.95911,0.79696,0.80307,0.61247,0.86601,0.46884,1.13578,0.0008218,0.0008218,0.0008218
56,1643.01,0.92678,0.68695,1.15225,0.9484,0.7957,0.80288,0.61517,0.85769,0.44761,1.16439,0.0008185,0.0008185,0.0008185
57,1671.41,0.92307,0.68055,1.16004,0.94988,0.79703,0.79764,0.61678,0.8765,0.45678,1.15221,0.0008152,0.0008152,0.0008152
58,1700.1,0.91396,0.662,1.15881,0.95947,0.80487,0.80939,0.62581,0.85012,0.42372,1.1491,0.0008119,0.0008119,0.0008119
59,1728.61,0.92051,0.6838,1.16947,0.94532,0.80199,0.8031,0.61721,0.85276,0.45183,1.15858,0.0008086,0.0008086,0.0008086
60,1757.18,0.92245,0.67818,1.16772,0.95341,0.80254,0.79752,0.61019,0.88163,0.45262,1.15903,0.0008053,0.0008053,0.0008053
61,1785.72,0.92153,0.65321,1.163,0.95206,0.80177,0.80037,0.61795,0.85442,0.43678,1.15354,0.000802,0.000802,0.000802
62,1814.22,0.92718,0.65969,1.17104,0.94058,0.79345,0.80426,0.61615,0.89055,0.46457,1.17229,0.0007987,0.0007987,0.0007987
63,1843.3,0.92603,0.65295,1.15985,0.95147,0.80633,0.8053,0.62351,0.85444,0.45089,1.13898,0.0007954,0.0007954,0.0007954
64,1872.14,0.92168,0.6698,1.16639,0.94029,0.80297,0.80808,0.6181,0.87205,0.45448,1.13925,0.0007921,0.0007921,0.0007921
65,1900.88,0.91998,0.66226,1.15717,0.96461,0.79776,0.80469,0.62415,0.86007,0.41955,1.15125,0.0007888,0.0007888,0.0007888
66,1929.61,0.92039,0.67476,1.15867,0.94684,0.79159,0.79725,0.6064,0.90445,0.46144,1.19059,0.0007855,0.0007855,0.0007855
67,1958.39,0.92106,0.6553,1.16859,0.95489,0.80539,0.80489,0.6158,0.87529,0.43995,1.1556,0.0007822,0.0007822,0.0007822
68,1986.77,0.89375,0.62804,1.14583,0.9484,0.79648,0.79769,0.61947,0.83951,0.42679,1.14996,0.0007789,0.0007789,0.0007789
69,2015.31,0.9301,0.64158,1.1582,0.95331,0.79699,0.79901,0.62324,0.84896,0.43389,1.15248,0.0007756,0.0007756,0.0007756
70,2043.74,0.90694,0.64001,1.15774,0.95828,0.78787,0.7997,0.62079,0.86944,0.44903,1.14835,0.0007723,0.0007723,0.0007723
71,2072.41,0.90388,0.63749,1.14904,0.9513,0.79836,0.80334,0.61517,0.87775,0.45042,1.15063,0.000769,0.000769,0.000769
72,2100.91,0.91248,0.64807,1.14727,0.94633,0.79358,0.80193,0.62037,0.85164,0.44609,1.14953,0.0007657,0.0007657,0.0007657
73,2129.42,0.90068,0.6155,1.14488,0.94771,0.80541,0.80772,0.6198,0.89946,0.43288,1.16725,0.0007624,0.0007624,0.0007624
74,2157.88,0.9019,0.6356,1.15069,0.95218,0.78209,0.80419,0.6205,0.87522,0.4456,1.14818,0.0007591,0.0007591,0.0007591
75,2186.55,0.89392,0.62749,1.15573,0.95767,0.79718,0.79799,0.61082,0.8865,0.43676,1.17968,0.0007558,0.0007558,0.0007558
76,2215.05,0.90384,0.62988,1.15245,0.96203,0.80301,0.8041,0.62238,0.8521,0.42717,1.14705,0.0007525,0.0007525,0.0007525
77,2243.73,0.89409,0.65458,1.14587,0.95117,0.78767,0.79199,0.60688,0.8642,0.46921,1.1781,0.0007492,0.0007492,0.0007492
78,2272.4,0.90137,0.63953,1.14057,0.94875,0.80592,0.8021,0.62042,0.84844,0.42947,1.13957,0.0007459,0.0007459,0.0007459
79,2300.93,0.88172,0.62035,1.14639,0.95672,0.80318,0.80774,0.62681,0.85474,0.42183,1.13828,0.0007426,0.0007426,0.0007426
80,2329.43,0.90422,0.62844,1.14308,0.95829,0.79916,0.80432,0.61965,0.86257,0.43022,1.14986,0.0007393,0.0007393,0.0007393
81,2357.83,0.87829,0.62312,1.14191,0.9531,0.78822,0.80396,0.62812,0.85286,0.42136,1.13574,0.000736,0.000736,0.000736
82,2386.39,0.90396,0.63565,1.15042,0.95816,0.80194,0.80215,0.62514,0.85648,0.4191,1.14426,0.0007327,0.0007327,0.0007327
83,2415.13,0.88623,0.62774,1.13488,0.94095,0.79301,0.80284,0.61593,0.87129,0.43852,1.15186,0.0007294,0.0007294,0.0007294
84,2443.97,0.86111,0.59797,1.12079,0.95034,0.78669,0.80734,0.63265,0.83456,0.42326,1.12672,0.0007261,0.0007261,0.0007261
85,2472.48,0.89862,0.61217,1.1439,0.95143,0.784,0.79915,0.60933,0.88122,0.45096,1.15927,0.0007228,0.0007228,0.0007228
86,2502.17,0.88872,0.60415,1.13674,0.95378,0.79929,0.79822,0.62597,0.83402,0.41985,1.13549,0.0007195,0.0007195,0.0007195
87,2531.36,0.88279,0.59916,1.1406,0.95425,0.79535,0.7999,0.61257,0.88731,0.44144,1.17306,0.0007162,0.0007162,0.0007162
88,2560.43,0.88931,0.6055,1.14383,0.95315,0.79287,0.8006,0.62144,0.85911,0.43792,1.1469,0.0007129,0.0007129,0.0007129
89,2589.18,0.88412,0.60539,1.13975,0.95496,0.79781,0.80311,0.62008,0.86129,0.43207,1.13393,0.0007096,0.0007096,0.0007096
90,2617.7,0.87749,0.61783,1.13213,0.94993,0.80302,0.80257,0.62728,0.82888,0.41893,1.12792,0.0007063,0.0007063,0.0007063
91,2646.17,0.8941,0.60281,1.1365,0.95477,0.80708,0.804,0.62361,0.84221,0.43258,1.13652,0.000703,0.000703,0.000703
92,2674.67,0.86438,0.60361,1.13253,0.95698,0.79635,0.80182,0.62641,0.85747,0.43005,1.14156,0.0006997,0.0006997,0.0006997
93,2703.65,0.87821,0.60185,1.12299,0.95208,0.80047,0.7968,0.61793,0.85592,0.42706,1.14964,0.0006964,0.0006964,0.0006964
94,2732.19,0.87802,0.61194,1.13105,0.95167,0.79994,0.80378,0.62273,0.88394,0.44557,1.1484,0.0006931,0.0006931,0.0006931
95,2761.33,0.86762,0.59615,1.12874,0.96358,0.78472,0.81023,0.63298,0.85172,0.41496,1.13641,0.0006898,0.0006898,0.0006898
96,2790.28,0.87348,0.60525,1.13465,0.94462,0.80683,0.80508,0.61823,0.86257,0.41959,1.1602,0.0006865,0.0006865,0.0006865
97,2819.07,0.87348,0.6031,1.14178,0.9554,0.79617,0.79961,0.62082,0.85679,0.42048,1.15554,0.0006832,0.0006832,0.0006832
98,2847.69,0.88299,0.59783,1.14083,0.95008,0.80325,0.80309,0.62055,0.85173,0.42719,1.15106,0.0006799,0.0006799,0.0006799
99,2876.17,0.8802,0.59226,1.13427,0.95633,0.80318,0.80365,0.618,0.8767,0.42008,1.15736,0.0006766,0.0006766,0.0006766
100,2905.1,0.86025,0.59189,1.12496,0.94988,0.80545,0.80113,0.62393,0.82781,0.41946,1.13548,0.0006733,0.0006733,0.0006733
101,2933.68,0.86407,0.58989,1.13085,0.95106,0.79643,0.80339,0.61618,0.86874,0.4319,1.1634,0.00067,0.00067,0.00067
102,2962.49,0.85197,0.59229,1.12645,0.96023,0.79396,0.8088,0.63226,0.83756,0.42377,1.14103,0.0006667,0.0006667,0.0006667
103,2991.41,0.85184,0.55324,1.11701,0.96234,0.79039,0.80712,0.62454,0.85406,0.41872,1.13428,0.0006634,0.0006634,0.0006634
104,3020.3,0.8482,0.55624,1.11425,0.95355,0.80034,0.80468,0.62401,0.84267,0.43088,1.13788,0.0006601,0.0006601,0.0006601
105,3049.08,0.85518,0.57212,1.11835,0.96297,0.79878,0.80605,0.629,0.82729,0.41663,1.14236,0.0006568,0.0006568,0.0006568
106,3077.54,0.865,0.56492,1.12087,0.96189,0.80176,0.80494,0.6343,0.82269,0.40661,1.12891,0.0006535,0.0006535,0.0006535
107,3106.58,0.8467,0.56285,1.12284,0.96209,0.80013,0.80973,0.63151,0.85455,0.41064,1.1368,0.0006502,0.0006502,0.0006502
108,3135.51,0.86201,0.5861,1.1198,0.96188,0.79537,0.8026,0.62275,0.86062,0.40562,1.15066,0.0006469,0.0006469,0.0006469
109,3164.31,0.85416,0.57828,1.10941,0.96334,0.80562,0.80401,0.62207,0.87539,0.40969,1.15747,0.0006436,0.0006436,0.0006436
110,3192.87,0.85278,0.57225,1.12054,0.96626,0.79599,0.80782,0.62644,0.88777,0.41812,1.15881,0.0006403,0.0006403,0.0006403
111,3221.58,0.84773,0.56185,1.11375,0.95882,0.80709,0.8082,0.63493,0.8599,0.39723,1.14886,0.000637,0.000637,0.000637
112,3250.12,0.84595,0.54447,1.11413,0.97107,0.79887,0.80704,0.62536,0.84938,0.40806,1.14287,0.0006337,0.0006337,0.0006337
113,3278.56,0.84904,0.56114,1.11973,0.95207,0.80391,0.80378,0.62551,0.88114,0.41829,1.16722,0.0006304,0.0006304,0.0006304
114,3307.06,0.84784,0.55052,1.11632,0.95877,0.80077,0.80462,0.62348,0.88833,0.42688,1.14312,0.0006271,0.0006271,0.0006271
115,3335.43,0.84126,0.57421,1.12179,0.96493,0.8016,0.80413,0.62736,0.85662,0.40545,1.14793,0.0006238,0.0006238,0.0006238
116,3364.11,0.84534,0.55726,1.11341,0.95918,0.79767,0.80301,0.62546,0.85815,0.407,1.13969,0.0006205,0.0006205,0.0006205
117,3392.68,0.82579,0.5551,1.10995,0.96491,0.80125,0.80666,0.63422,0.84696,0.40233,1.13429,0.0006172,0.0006172,0.0006172
118,3421.38,0.82797,0.56605,1.10721,0.96206,0.79917,0.80787,0.63372,0.84791,0.41005,1.13413,0.0006139,0.0006139,0.0006139
119,3449.84,0.83365,0.55301,1.11008,0.95683,0.80828,0.80518,0.62585,0.84338,0.40032,1.14388,0.0006106,0.0006106,0.0006106
120,3478.46,0.82917,0.55943,1.10264,0.96207,0.80985,0.80696,0.63084,0.83452,0.40081,1.13862,0.0006073,0.0006073,0.0006073
121,3507.05,0.84772,0.56811,1.11508,0.95763,0.80314,0.80081,0.62352,0.86532,0.40598,1.15032,0.000604,0.000604,0.000604
122,3535.86,0.82188,0.52865,1.10545,0.95812,0.79535,0.8066,0.63216,0.84988,0.40798,1.1326,0.0006007,0.0006007,0.0006007
123,3564.76,0.82621,0.54186,1.10587,0.78664,0.80345,0.8027,0.62568,0.82196,0.41021,1.13849,0.0005974,0.0005974,0.0005974
124,3593.33,0.81912,0.54418,1.09923,0.96011,0.8002,0.80266,0.6318,0.8335,0.40937,1.12498,0.0005941,0.0005941,0.0005941
125,3622.1,0.83824,0.56473,1.10719,0.96198,0.80468,0.80319,0.62752,0.85367,0.41961,1.14069,0.0005908,0.0005908,0.0005908
126,3651.21,0.82267,0.54035,1.10084,0.96229,0.79548,0.80069,0.6234,0.86564,0.41597,1.15436,0.0005875,0.0005875,0.0005875
127,3680.31,0.83477,0.54386,1.10959,0.95973,0.80318,0.80635,0.63586,0.85157,0.40187,1.14235,0.0005842,0.0005842,0.0005842
128,3709.36,0.8241,0.55998,1.10371,0.79927,0.80692,0.80808,0.63646,0.84265,0.40103,1.13423,0.0005809,0.0005809,0.0005809
129,3738.24,0.83005,0.55114,1.10635,0.96514,0.80422,0.80408,0.62946,0.85161,0.40857,1.14513,0.0005776,0.0005776,0.0005776
130,3767.59,0.82984,0.54487,1.10398,0.96505,0.80479,0.80704,0.63002,0.85775,0.39987,1.14696,0.0005743,0.0005743,0.0005743
131,3796.4,0.8135,0.54094,1.10357,0.96185,0.80171,0.80231,0.63113,0.86126,0.39414,1.14602,0.000571,0.000571,0.000571
132,3825.28,0.81456,0.53465,1.11031,0.78732,0.80903,0.80171,0.62909,0.85315,0.38965,1.16192,0.0005677,0.0005677,0.0005677
133,3854.01,0.82669,0.54741,1.11035,0.96107,0.80668,0.8061,0.63188,0.83349,0.38369,1.1293,0.0005644,0.0005644,0.0005644
134,3882.98,0.81822,0.52453,1.10579,0.96121,0.80674,0.80529,0.62988,0.85515,0.38536,1.14281,0.0005611,0.0005611,0.0005611
135,3911.66,0.84215,0.54162,1.1146,0.95152,0.80606,0.80028,0.62343,0.84267,0.40418,1.15047,0.0005578,0.0005578,0.0005578
136,3940.59,0.8107,0.54132,1.10236,0.96095,0.80531,0.80153,0.62041,0.87181,0.39824,1.15594,0.0005545,0.0005545,0.0005545
137,3969.23,0.83099,0.54541,1.11328,0.79015,0.80373,0.80241,0.62751,0.86072,0.39689,1.15731,0.0005512,0.0005512,0.0005512
138,3998.55,0.79515,0.51355,1.09399,0.95998,0.80302,0.80946,0.63774,0.85492,0.39723,1.1433,0.0005479,0.0005479,0.0005479
139,4027.25,0.80906,0.52043,1.09669,0.95853,0.80189,0.80941,0.6397,0.83937,0.39346,1.13124,0.0005446,0.0005446,0.0005446
140,4056.12,0.8004,0.52122,1.09483,0.79122,0.80279,0.80664,0.6364,0.84431,0.39688,1.14252,0.0005413,0.0005413,0.0005413
141,4085.21,0.80729,0.53026,1.0972,0.78981,0.81569,0.80603,0.6237,0.89182,0.40278,1.15752,0.000538,0.000538,0.000538
142,4114.3,0.81088,0.53643,1.0964,0.79229,0.80219,0.80288,0.6286,0.84821,0.4034,1.13859,0.0005347,0.0005347,0.0005347
143,4143.34,0.80292,0.52658,1.09427,0.96245,0.80494,0.80551,0.62737,0.86974,0.40197,1.14698,0.0005314,0.0005314,0.0005314
144,4172.45,0.78463,0.5059,1.08775,0.96051,0.80002,0.80516,0.63128,0.86083,0.39529,1.14391,0.0005281,0.0005281,0.0005281
145,4201.43,0.81002,0.51864,1.0975,0.96437,0.80231,0.81071,0.63798,0.87378,0.39352,1.15074,0.0005248,0.0005248,0.0005248
146,4230.32,0.80365,0.51931,1.09776,0.96556,0.80286,0.80643,0.62928,0.84731,0.38498,1.13929,0.0005215,0.0005215,0.0005215
147,4259.32,0.80698,0.52673,1.09491,0.95935,0.80338,0.80507,0.6315,0.85851,0.39431,1.14747,0.0005182,0.0005182,0.0005182
148,4288.31,0.79734,0.51434,1.08845,0.95341,0.80656,0.8017,0.62618,0.87631,0.40943,1.15667,0.0005149,0.0005149,0.0005149
149,4317.13,0.77571,0.5,1.07985,0.95975,0.81065,0.80744,0.63804,0.84182,0.38086,1.13383,0.0005116,0.0005116,0.0005116
